pipeline,sample_id,sequence,frame_number,field_occlusion_label,auto_severity,status,mean_bone_length,left_right_bone_symmetry_error,joint_angle_feasibility
SAM-3DBody,field_all_fb_09953,MansoryBrickLaying_02,4462,severe_detected,severe,ok,0.28472339420609016,0.018931493502385672,1.0
SAM-3DBody,field_all_fb_09955,MansoryBrickLaying_02,4464,severe_detected,severe,ok,0.2841334097201238,0.01969273754200686,1.0
SAM-3DBody,field_all_fb_09958,MansoryBrickLaying_02,4467,severe_detected,severe,ok,0.2841886510027929,0.019410653123354847,1.0
SAM-3DBody,field_all_fb_09962,MansoryBrickLaying_02,4471,severe_detected,severe,ok,0.28299973815434315,0.022127567444083354,1.0
SAM-3DBody,field_all_fb_10064,MansoryBrickLaying_02,4573,severe_detected,severe,ok,0.28409655079322793,0.021668662206240353,1.0
SAM-3DBody,field_all_fb_10179,MansoryBrickLaying_02,4688,severe_detected,severe,ok,0.281092885262977,0.008058139754173679,1.0
SAM-3DBody,field_all_fb_10182,MansoryBrickLaying_02,4691,severe_detected,severe,ok,0.27996500815403735,0.008902907737317669,1.0
SAM-3DBody,field_all_fb_10186,MansoryBrickLaying_02,4695,severe_detected,severe,ok,0.28006666837572525,0.010646656570064757,1.0
SAM-3DBody,field_all_fb_10190,MansoryBrickLaying_02,4699,severe_detected,severe,ok,0.2807549175671647,0.011909345984416786,1.0
SAM-3DBody,field_all_fb_10192,MansoryBrickLaying_02,4701,severe_detected,severe,ok,0.279382092049253,0.011601164747497145,1.0
SAM-3DBody,field_all_fb_10195,MansoryBrickLaying_02,4704,severe_detected,severe,ok,0.2800713994346721,0.013312405026407811,1.0
SAM-3DBody,field_all_fb_10197,MansoryBrickLaying_02,4706,severe_detected,severe,ok,0.27902783073730336,0.013325054173020774,1.0
SAM-3DBody,field_all_fb_10200,MansoryBrickLaying_02,4709,severe_detected,severe,ok,0.28004326186996187,0.012858894194070415,1.0
SAM-3DBody,field_all_fb_10398,MansoryBrickLaying_02,4907,severe_detected,severe,ok,0.2764797718587814,0.015059291269429703,1.0
SAM-3DBody,field_all_fb_11080,MansoryBrickLaying_02,5589,severe_detected,severe,ok,0.27796092282946916,0.0047149820547127234,1.0
SAM-3DBody,field_all_fb_11085,MansoryBrickLaying_02,5594,severe_detected,severe,ok,0.2829053449666469,0.00537885223523651,1.0
SAM-3DBody,field_all_fb_11087,MansoryBrickLaying_02,5596,severe_detected,severe,ok,0.28703433009347196,0.005061480899253636,1.0
SAM-3DBody,field_all_fb_11142,MansoryBrickLaying_02,5651,severe_detected,severe,ok,0.2801831152268413,0.006673868933687502,1.0
SAM-3DBody,field_all_fb_11145,MansoryBrickLaying_02,5654,severe_detected,severe,ok,0.28035399352462176,0.005616693164791183,1.0
SAM-3DBody,field_all_fb_11147,MansoryBrickLaying_02,5656,severe_detected,severe,ok,0.28349591719909034,0.00524835283068809,1.0
SAM-3DBody,field_all_fb_11150,MansoryBrickLaying_02,5659,severe_detected,severe,ok,0.2803863887960758,0.006371072047601419,1.0
SAM-3DBody,field_all_fb_11155,MansoryBrickLaying_02,5664,severe_detected,severe,ok,0.2830963179617592,0.006599883945554927,1.0
SAM-3DBody,field_all_fb_11574,MansoryBrickLaying_02,6083,severe_detected,severe,ok,0.2791720377873369,0.012895381965137112,1.0
SAM-3DBody,field_all_fb_11648,MansoryBrickLaying_02,6157,severe_detected,severe,ok,0.2833964393224754,0.013723565241878469,1.0
SAM-3DBody,field_all_fb_11652,MansoryBrickLaying_02,6161,severe_detected,severe,ok,0.2842947832074607,0.013409036160463834,1.0
SAM-3DBody,field_all_fb_12457,MansoryBrickLaying_02,6966,severe_detected,severe,ok,0.28703575603533216,0.00413091370995519,1.0
SAM-3DBody,field_all_fb_12459,MansoryBrickLaying_02,6968,severe_detected,severe,ok,0.28735925858276234,0.004425423299419054,1.0
SAM-3DBody,field_all_fb_13182,MansoryCement_02,434,severe_detected,severe,ok,0.2666330754315259,0.010111139937311895,1.0
SAM-3DBody,field_all_fb_13190,MansoryCement_02,442,severe_detected,severe,ok,0.26904602038824377,0.006136593741317459,1.0
